SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
GTLINFRA,EQ,GTL INFRA.LTD,1.32,1.38,1.32,1.35,48909167,66092544.87,20260525,1.3500000000000003,1.35,1.3500000000000003,1.3500000000000003,1.35,4.440892098500626e-16,3.2895497025930565e-14,Narrow,Bullish,Inside CPR,Cash Only,Real Estate & Infra,False,False,0.3333333333333333,3,47714777.89,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CANFINHOME,EQ,CAN FIN HOMES LTD,844.95,849.8,822.1,838.4,445592,373564726.8,20260525,836.7666666666668,835.95,837.5833333333335,837.5833333333335,835.95,1.6333333333334394,0.1948155216285114,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.6666666666666666,3,66472829.4,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WAAREERTL,EQ,WAAREE RENEWABLE TECH LTD,968.4,986.3,963.5,977.8,194785,189584750.7,20260525,975.8666666666668,974.9,976.8333333333334,976.8333333333334,974.9,1.933333333333394,0.1977227790277556,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,167373549.3,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TEAMLEASE,EQ,TEAMLEASE SERVICES LTD.,1395.0,1399.0,1381.5,1394.4,16751,23338894.5,20260525,1391.6333333333332,1390.25,1393.0166666666664,1393.0166666666664,1390.25,2.766666666666424,0.198412698412681,Narrow,Bullish,Above CPR,Cash Only,FMCG & Food Products,True,False,0.6666666666666666,3,62879870.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INDIQUBE,EQ,INDIQUBE SPACES LIMITED,164.9,167.1,164.31,166.2,35299,5849429.55,20260525,165.86999999999998,165.70499999999998,166.03499999999997,166.03499999999997,165.70499999999998,0.3299999999999841,0.1985559566786907,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,5849429.55,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INDIGO,EQ,INTERGLOBE AVIATION LTD,4524.1,4538.0,4438.7,4501.9,2493013,11167647866.1,20260525,4492.866666666667,4488.35,4497.383333333333,4497.383333333333,4488.35,9.033333333332848,0.2006560193103545,Narrow,Bullish,Above CPR,Cash Only,Services,True,False,0.6666666666666666,3,7301857586.1,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHRIRAMPPS,EQ,SHRIRAM PROPERTIES LTD,86.89,96.0,85.25,90.9,8728726,798042021.81,20260525,90.71666666666664,90.625,90.80833333333332,90.80833333333332,90.625,0.1833333333333087,0.2016868353501746,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,42134942.3,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DOLATALGO,EQ,DOLAT ALGOTECH LIMITED,75.13,76.58,74.4,75.72,419124,31645639.95,20260525,75.56666666666668,75.49000000000001,75.64333333333335,75.64333333333335,75.49000000000001,0.1533333333333359,0.2025004402183518,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,31645639.95,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
STARPAPER,EQ,STAR PAPER MILLS LTD,142.04,142.5,139.5,141.43,7351,1038946.88,20260525,141.14333333333337,141.0,141.2866666666667,141.2866666666667,141.0,0.2866666666666901,0.2026915553041717,Narrow,Bullish,Above CPR,Cash Only,Paper & Packaging,True,False,0.3333333333333333,3,1038946.88,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ARCHIES,EQ,ARCHIES LTD,14.94,14.97,14.52,14.79,12237,181641.34,20260525,14.76,14.745,14.775,14.775,14.745,0.0299999999999975,0.2028397565922757,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,72652.83,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GNRL,EQ,GUJARAT NATURAL RES L,95.41,98.5,94.47,96.78,57789,5563459.79,20260525,96.58333333333331,96.485,96.68166666666666,96.68166666666666,96.485,0.1966666666666583,0.2032100296204363,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,5145642.84,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VISHNU,EQ,VISHNU CHEMICALS LIMITED,599.8,607.3,595.9,603.45,43325,26113746.4,20260525,602.2166666666666,601.5999999999999,602.8333333333333,602.8333333333333,601.5999999999999,1.2333333333333485,0.204380368437045,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,33998275.85,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
COROMANDEL,EQ,COROMANDEL INTERNTL. LTD,1825.2,1854.1,1817.6,1841.5,468484,860796242.9,20260525,1837.7333333333331,1835.85,1839.6166666666668,1839.6166666666668,1835.85,3.766666666666879,0.2045433975925538,Narrow,Bullish,Above CPR,Cash Only,Chemicals,True,False,0.3333333333333333,3,969909242.2,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GENUSPOWER,EQ,GENUS POWER INFRASTRU LTD,321.2,327.0,320.0,324.5,556989,180143325.25,20260525,323.8333333333333,323.5,324.16666666666663,324.16666666666663,323.5,0.6666666666666288,0.2054442732408717,Narrow,Bullish,Above CPR,Cash Only,Power & Utilities,True,False,0.3333333333333333,3,199913290.15,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VELJAN,EQ,VELJAN DENISON LTD.,1040.0,1044.7,1036.0,1043.6,148,153730.0,20260525,1041.4333333333332,1040.35,1042.5166666666664,1042.5166666666664,1040.35,2.166666666666515,0.2076146671777036,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,153730.0,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AVAILFC,EQ,AVAILABLE FINANCE LTD.,152.1,161.0,152.1,157.04,3495,549645.22,20260525,156.71333333333334,156.55,156.8766666666667,156.8766666666667,156.55,0.3266666666666538,0.2080149431142726,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,825347.81,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NOVAAGRI,EQ,NOVA AGRITECH LIMITED,28.5,28.89,28.25,28.66,96307,2753483.87,20260525,28.6,28.57,28.629999999999995,28.629999999999995,28.57,0.0599999999999951,0.2093510118632071,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,2539693.36,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VAIBHAVGBL,EQ,VAIBHAV GLOBAL LIMITED,224.8,233.0,224.0,229.22,498552,113972247.63,20260525,228.74,228.5,228.98,228.98,228.5,0.4800000000000182,0.2094058110112635,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,113972247.63,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TATAPOWER,EQ,TATA POWER CO LTD,411.25,415.1,409.4,413.55,3635798,1500259408.4,20260525,412.6833333333333,412.25,413.1166666666667,413.1166666666667,412.25,0.8666666666666742,0.2095675653891124,Narrow,Bullish,Above CPR,Cash Only,Power,True,False,0.6666666666666666,3,1797668473.05,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RHIM,EQ,RHI MAGNESITA INDIA LTD,395.05,409.2,394.55,403.15,182906,73796508.0,20260525,402.3,401.875,402.725,402.725,401.875,0.8500000000000227,0.2108396378519217,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,3,120149048.1,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ANGELONE,EQ,ANGEL ONE LIMITED,342.0,348.7,342.0,346.45,8423076,2913600862.5,20260525,345.7166666666667,345.35,346.08333333333337,346.08333333333337,345.35,0.7333333333333485,0.2116707557608164,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,3511048274.8,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SESHAPAPER,EQ,SESHASAYEE PAPER & BOARDS,236.0,239.0,231.3,235.9,21287,4988475.55,20260525,235.4,235.15,235.65,235.65,235.15,0.5,0.2119542178889359,Narrow,Bullish,Above CPR,Cash Only,Paper & Packaging,True,False,0.3333333333333333,3,2925476.55,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PATANJALI,EQ,PATANJALI FOODS LIMITED,469.35,470.4,463.5,468.45,2069309,967204431.6,20260525,467.45,466.95,467.95,467.95,466.95,1.0,0.2134699541039598,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.6666666666666666,3,967204431.6,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LAURUSLABS,EQ,LAURUS LABS LIMITED,1345.0,1363.9,1340.0,1356.3,1632496,2204038541.3,20260525,1353.4,1351.95,1354.8499999999997,1354.8499999999997,1351.95,2.899999999999636,0.2138170021381432,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.6666666666666666,3,2282010501.4,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HAL,EQ,HINDUSTAN AERONAUTICS LTD,4391.2,4437.9,4385.4,4425.9,1063255,4699568494.8,20260525,4416.4,4411.65,4421.15,4421.15,4411.65,9.5,0.2146456088027294,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.6666666666666666,3,4699568494.8,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUPREMEIND,EQ,SUPREME INDUSTRIES LTD,3565.3,3637.9,3564.6,3612.9,84056,303173668.1,20260525,3605.133333333333,3601.25,3609.0166666666655,3609.0166666666655,3601.25,7.766666666666424,0.2149704300331153,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,3,615248654.4,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,363.0,364.95,360.0,363.65,2791387,1013282807.5,20260525,362.8666666666666,362.475,363.2583333333332,363.2583333333332,362.475,0.7833333333331893,0.2154085888445454,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,1239459359.25,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CIPLA,EQ,CIPLA LTD,1406.0,1420.0,1398.5,1413.9,668915,941641484.0,20260525,1410.8,1409.25,1412.35,1412.35,1409.25,3.099999999999909,0.2192517151142166,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.6666666666666666,3,1284767172.3,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AXISCADES,EQ,AXISCADES TECH LTD,2024.1,2087.5,1989.0,2045.0,129086,263379315.9,20260525,2040.5,2038.25,2042.75,2042.75,2038.25,4.5,0.2200488997555012,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,238163558.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DBL,EQ,DILIP BUILDCON LIMITED,430.0,439.7,428.5,435.55,132611,57648018.35,20260525,434.5833333333333,434.1,435.0666666666666,435.0666666666666,434.1,0.9666666666665832,0.2219416063980216,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,49290723.05,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KIRLOSENG,EQ,KIRLOSKAR OIL ENG LTD,1665.0,1737.9,1656.3,1702.8,384673,653935368.1,20260525,1699.0,1697.1,1700.9,1700.9,1697.1,3.800000000000182,0.2231618510688385,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,1.0,3,446451366.7,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAGILITY,EQ,SAGILITY LIMITED,41.69,41.99,41.33,41.8,8218373,342707924.75,20260525,41.70666666666666,41.66,41.75333333333333,41.75333333333333,41.66,0.0933333333333337,0.2232854864433821,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.3333333333333333,3,435028334.01,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RUPA,EQ,RUPA & COMPANY LTD,148.0,149.68,147.04,148.86,85460,12697053.57,20260525,148.52666666666667,148.36,148.69333333333333,148.69333333333333,148.36,0.3333333333333144,0.2239240449639354,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,8482323.51,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CMSINFO,EQ,CMS INFO SYSTEMS LIMITED,308.9,314.0,305.0,310.55,429561,133567376.45,20260525,309.85,309.5,310.19999999999993,310.19999999999993,309.5,0.6999999999999318,0.2254065367895449,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.3333333333333333,3,138157811.8,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ABREL,EQ,ADITYA BIRLA REAL EST LTD,1257.0,1307.6,1255.3,1285.8,218318,281494822.4,20260525,1282.9,1281.4499999999998,1284.35,1284.35,1281.4499999999998,2.900000000000091,0.2255405195209279,Narrow,Bullish,Above CPR,Cash Only,Realty,True,False,0.3333333333333333,3,175287238.3,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ACCURACY,EQ,ACCURACY SHIPPING LIMITED,5.69,5.99,5.69,5.86,132941,779645.51,20260525,5.846666666666667,5.84,5.8533333333333335,5.8533333333333335,5.84,0.0133333333333336,0.2275312855517686,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,714844.27,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUPERHOUSE,EQ,SUPERHOUSE LIMITED,155.0,156.4,152.0,154.73,9304,1439808.38,20260525,154.3766666666667,154.2,154.55333333333334,154.55333333333334,154.2,0.353333333333353,0.2283547685215233,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,1131280.9,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,2920.0,2963.3,2864.2,2923.8,333972,970339960.2,20260525,2917.1,2913.75,2920.45,2920.45,2913.75,6.699999999999818,0.2291538408919836,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.3333333333333333,3,988172073.0,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
UMIYA-MRO,EQ,UMIYA BUILDCON LIMITED,83.9,83.9,83.0,83.74,4592,383671.51,20260525,83.54666666666667,83.45,83.64333333333333,83.64333333333333,83.45,0.193333333333328,0.2308733381100167,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,405201.92,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GICHSGFIN,EQ,GIC HOUSING FINANCE LTD,150.21,152.59,150.21,151.93,73010,11077384.75,20260525,151.57666666666668,151.4,151.75333333333336,151.75333333333336,151.4,0.353333333333353,0.2325632418438445,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,11077384.75,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NUVAMA,EQ,NUVAMA WEALTH MANAGE LTD,1480.1,1519.0,1480.1,1504.8,402061,605121999.7,20260525,1501.3,1499.55,1503.05,1503.05,1499.55,3.5,0.232589048378522,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.6666666666666666,3,566088990.2,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
APLAPOLLO,EQ,APL APOLLO TUBES LTD,1900.0,1908.9,1875.0,1898.6,622447,1177836126.9,20260525,1894.1666666666667,1891.95,1896.3833333333332,1896.3833333333332,1891.95,4.433333333333394,0.2335053899364476,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.6666666666666666,3,851636221.1,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KAYA,EQ,KAYA LIMITED,244.25,250.75,244.0,248.25,3778,937380.65,20260525,247.66666666666663,247.375,247.9583333333333,247.9583333333333,247.375,0.5833333333333144,0.2349781805975083,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,4518525.0,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
OFSS,EQ,ORACLE FIN SERV SOFT LTD.,9530.0,9837.5,9500.0,9703.0,184137,1788678660.5,20260525,9680.166666666666,9668.75,9691.583333333332,9691.583333333332,9668.75,22.83333333333212,0.2353224088769671,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.6666666666666666,3,1788678660.5,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TRIVENI,EQ,TRIVENI ENGG. & INDS. LTD,380.4,380.9,371.1,377.35,352236,131885865.05,20260525,376.45,376.0,376.9,376.9,376.0,0.8999999999999773,0.2385053663707373,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,131885865.05,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GRASIM,EQ,GRASIM INDUSTRIES LTD,3180.0,3192.3,3128.1,3171.6,620009,1963813059.8,20260525,3164.0,3160.2,3167.8,3167.8,3160.2,7.600000000000364,0.2396266868457675,Narrow,Bullish,Above CPR,Cash Only,Construction Materials,True,False,0.6666666666666666,3,2867999497.7,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NAVKARCORP,EQ,NAVKAR CORPORATION LTD.,95.4,98.7,95.0,97.2,511389,49718898.25,20260525,96.96666666666664,96.85,97.08333333333331,97.08333333333331,96.85,0.23333333333332,0.2400548696844856,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,34172871.39,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CONCOR,EQ,CONTAINER CORP OF IND LTD,509.0,513.5,506.9,512.05,720289,367814189.1,20260525,510.8166666666666,510.2,511.4333333333332,511.4333333333332,510.2,1.2333333333332348,0.2408618949972141,Narrow,Bullish,Above CPR,Cash Only,Services,True,False,0.3333333333333333,3,367814189.1,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
UNICHEMLAB,EQ,UNICHEM LABORATORIES LTD,361.05,366.45,349.95,359.5,99233,35386584.15,20260525,358.6333333333334,358.2,359.0666666666668,359.0666666666668,358.2,0.8666666666667879,0.2410755679184389,Narrow,Bullish,Above CPR,Cash Only,Healthcare & Pharma,True,False,0.6666666666666666,3,15344962.3,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ERIS,EQ,ERIS LIFESCIENCES LIMITED,1344.9,1358.0,1339.2,1353.5,63907,86233295.6,20260525,1350.2333333333331,1348.6,1351.8666666666668,1351.8666666666668,1348.6,3.266666666666879,0.2413495874892411,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.3333333333333333,3,175702599.4,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MGL,EQ,MAHANAGAR GAS LTD.,1057.5,1084.5,1057.5,1074.9,182335,195966582.8,20260525,1072.3,1071.0,1073.6,1073.6,1071.0,2.599999999999909,0.2418829658572805,Narrow,Bullish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,0.3333333333333333,3,146862627.8,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INDIGOPNTS,EQ,INDIGO PAINTS LIMITED,1003.4,1018.05,966.6,995.95,285775,282763514.9,20260525,993.5333333333334,992.325,994.7416666666668,994.7416666666668,992.325,2.4166666666667425,0.242649396723404,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,111290535.25,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
JAGRAN,EQ,JAGRAN PRAKASHAN LIMITED,68.92,70.35,68.6,69.73,412617,28766990.21,20260525,69.56,69.475,69.64500000000001,69.64500000000001,69.475,0.1700000000000159,0.2437975046608574,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,1.0,3,22946603.76,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHYAMMETL,EQ,SHYAM METALICS AND ENGY L,958.9,978.0,939.0,962.05,1201943,1153699285.35,20260525,959.6833333333334,958.5,960.8666666666668,960.8666666666668,958.5,2.366666666666788,0.2460024600246128,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,3,1057568266.9,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
