SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
THAKDEV,EQ,THAKKERS DEVELOPERS LTD.,141.35,141.35,141.35,141.35,2,282.7,20260526,141.35,141.35,141.35,141.35,141.35,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.6666666666666666,3,421.8,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NSIL,EQ,NALWA SONS INVESTMENT LTD,5651.0,5785.0,5651.0,5694.0,1957,11196397.5,20260526,5710.0,5718.0,5702.0,5718.0,5702.0,16.0,0.2809975412715139,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,4,11652153.75,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EIHOTEL,EQ,EIH LIMITED,321.05,324.0,318.5,319.9,92976,29916776.25,20260526,320.8,321.25,320.35,321.25,320.35,0.8999999999999773,0.2813379180993989,Moderate,Bearish,Below CPR,Cash Only,Consumer Services,False,True,0.75,4,31285585.775,Outside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RGL,EQ,RENAISSANCE GLOBAL LTD,103.0,104.4,101.15,102.34,468361,48401269.99,20260526,102.63,102.775,102.485,102.775,102.485,0.2900000000000204,0.2833691616181556,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.75,4,31114444.58,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HCLTECH,EQ,HCL TECHNOLOGIES LTD,1165.7,1173.7,1160.0,1161.9,1196820,1395469868.5,20260526,1165.2,1166.85,1163.5500000000002,1166.85,1163.5500000000002,3.299999999999727,0.2840175574489824,Moderate,Bearish,Below CPR,Cash Only,Information Technology,False,True,1.0,4,2021284827.1,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SOBHA,EQ,SOBHA LIMITED,1395.4,1433.0,1392.9,1419.0,74674,105311016.0,20260526,1414.9666666666665,1412.95,1416.983333333333,1416.983333333333,1412.95,4.033333333332848,0.284237726098157,Moderate,Bullish,Above CPR,Cash Only,Realty,False,False,1.0,4,80706827.35,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAPPHIRE,EQ,SAPPHIRE FOODS INDIA LTD,183.67,187.06,181.44,185.04,808416,149769500.68,20260526,184.5133333333333,184.25,184.77666666666664,184.77666666666664,184.25,0.5266666666666424,0.2846231445453104,Moderate,Bullish,Above CPR,Cash Only,Consumer Services,False,False,0.5,4,102144776.775,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AAVAS,EQ,AAVAS FINANCIERS LIMITED,1375.0,1408.0,1366.7,1393.3,198555,276014590.1,20260526,1389.3333333333333,1387.35,1391.3166666666666,1391.3166666666666,1387.35,3.966666666666697,0.2846958061197658,Moderate,Bullish,Above CPR,Cash Only,Financial Services,False,False,0.25,4,152045476.8,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AHLADA,EQ,AHLADA ENGINEERS LIMITED,39.85,40.25,38.75,39.67,6786,269915.51,20260526,39.556666666666665,39.5,39.61333333333333,39.61333333333333,39.5,0.1133333333333297,0.2856902781278793,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.25,4,445966.425,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DAMCAPITAL,EQ,DAM CAPITAL ADVISORS LTD,153.3,154.99,152.0,152.84,324604,49802868.87,20260526,153.27666666666667,153.495,153.05833333333334,153.495,153.05833333333334,0.4366666666666674,0.2857018232574374,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,124177920.375,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BDL,EQ,BHARAT DYNAMICS LIMITED,1326.1,1348.0,1323.2,1329.9,701058,935789004.4,20260526,1333.7,1335.6,1331.8000000000002,1335.6,1331.8000000000002,3.799999999999727,0.2857357696067168,Moderate,Bearish,Below CPR,Cash Only,Capital Goods,False,True,0.5,4,911044911.75,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NESTLEIND,EQ,NESTLE INDIA LIMITED,1417.6,1431.7,1413.2,1428.6,1472818,2098053885.5,20260526,1424.5,1422.45,1426.55,1426.55,1422.45,4.099999999999909,0.2869942601147913,Moderate,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,False,False,0.5,4,1976042875.0,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RELAXO,EQ,RELAXO FOOT LTD.,299.7,307.45,298.15,301.5,79885,24269857.85,20260526,302.3666666666666,302.79999999999995,301.9333333333333,302.79999999999995,301.9333333333333,0.8666666666666742,0.2874516307352153,Moderate,Bearish,Below CPR,Cash Only,Footwear,False,True,1.0,4,17703791.5,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TEGA,EQ,TEGA INDUSTRIES LIMITED,1609.9,1612.6,1578.3,1588.6,41413,66005217.5,20260526,1593.1666666666667,1595.4499999999998,1590.8833333333337,1595.4499999999998,1590.8833333333337,4.566666666666151,0.2874648537496004,Moderate,Bearish,Below CPR,Cash Only,Capital Goods,False,True,1.0,4,37625440.05,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
COSMOFIRST,EQ,COSMO FIRST LIMITED,768.15,787.9,762.5,771.85,108397,84324686.2,20260526,774.0833333333334,775.2,772.9666666666667,775.2,772.9666666666667,2.2333333333333485,0.2893481030424756,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,117910480.4,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HPIL,EQ,HINDPRAKASH INDUSTRY LTD,133.97,134.0,132.0,133.58,1078,144270.89,20260526,133.19333333333336,133.0,133.3866666666667,133.3866666666667,133.0,0.3866666666667129,0.289464490692254,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.5,4,101571.27,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RADICO,EQ,RADICO KHAITAN LTD,3553.0,3590.0,3535.6,3578.4,191917,682571024.3,20260526,3568.0,3562.8,3573.2,3573.2,3562.8,10.399999999999636,0.290632684998872,Moderate,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,False,False,0.75,4,602917470.7,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PRAJIND,EQ,PRAJ INDUSTRIES LTD,395.0,400.2,390.95,393.85,732517,290465184.55,20260526,395.0,395.575,394.425,395.575,394.425,1.1499999999999773,0.2919893360416344,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,357870002.85,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PODDARMENT,EQ,PODDAR PIGMENTS LIMITED,247.9,252.0,247.9,251.05,1319,330281.05,20260526,250.3166666666667,249.95,250.6833333333334,250.6833333333334,249.95,0.7333333333334053,0.2921064860917766,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.5,4,401818.7,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SILINV,EQ,SIL INVESTMENTS LIMITED,428.6,430.9,416.0,421.6,2456,1044949.1,20260526,422.8333333333333,423.45,422.2166666666666,423.45,422.2166666666666,1.2333333333333485,0.2925363693864678,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,1926559.25,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NAZARA,EQ,NAZARA TECHNOLOGIES LTD,291.5,293.0,285.55,290.55,1729108,502475827.9,20260526,289.7,289.275,290.125,290.125,289.275,0.8500000000000227,0.2925486146962735,Moderate,Bullish,Above CPR,Cash Only,Gaming & Tech,False,False,0.25,4,475843864.375,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ACL,EQ,ANDHRA CEMENTS LIMITED,56.8,56.8,55.25,55.78,8678,486549.7,20260526,55.94333333333333,56.025,55.86166666666666,56.025,55.86166666666666,0.1633333333333411,0.2928170192422751,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,660803.615,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GVT&D,EQ,GE VERNOVA T&D INDIA LTD,4796.9,4878.0,4776.0,4848.3,483181,2335773833.8,20260526,4834.099999999999,4827.0,4841.199999999999,4841.199999999999,4827.0,14.199999999998909,0.2928861662850671,Moderate,Bullish,Above CPR,Cash Only,Capital Goods,False,False,0.5,4,3179147085.2,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GROBTEA,EQ,THE GROB TEA COMPANY LTD,900.0,910.0,861.05,881.65,126,111307.7,20260526,884.2333333333332,885.525,882.9416666666665,885.525,882.9416666666665,2.583333333333485,0.2930112100417949,Moderate,Bearish,Below CPR,Cash Only,FMCG & Food Products,False,True,0.5,4,53477.95,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BOMDYEING,EQ,BOMBAY DYEING & MFG. CO L,126.49,128.0,125.01,125.95,565534,71538338.09,20260526,126.32,126.505,126.135,126.505,126.135,0.3700000000000045,0.2937673680031795,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,90021512.35499999,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SBILIFE,EQ,SBI LIFE INSURANCE CO LTD,1904.8,1906.9,1876.1,1883.2,812898,1534331874.4,20260526,1888.7333333333331,1891.5,1885.9666666666667,1891.5,1885.9666666666667,5.533333333333303,0.2938261115831193,Moderate,Bearish,Below CPR,Cash Only,Financial Services,False,True,0.75,4,1188365677.4,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DIXON,EQ,DIXON TECHNO (INDIA) LTD,11798.0,11829.0,11620.0,11673.0,311771,3654352089.0,20260526,11707.333333333334,11724.5,11690.166666666668,11724.5,11690.166666666668,34.33333333333212,0.294126045860808,Moderate,Bearish,Below CPR,Cash Only,Consumer Durables,False,True,0.25,4,7342852507.0,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GLOBALVECT,EQ,GLOBAL VEC HELICORP LTD,166.01,174.42,166.01,170.97,4646,795780.24,20260526,170.46666666666667,170.21499999999995,170.71833333333336,170.71833333333336,170.21499999999995,0.5033333333333871,0.2943986274395433,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.25,4,1111242.635,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CORONA,EQ,CORONA REMEDIES LIMITED,1710.0,1719.0,1690.0,1697.0,11777,20049892.8,20260526,1702.0,1704.5,1699.5,1704.5,1699.5,5.0,0.2946375957572186,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,47292618.3,Outside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BIKAJI,EQ,BIKAJI FOODS INTERN LTD,640.5,650.9,632.55,638.9,136805,87815560.7,20260526,640.7833333333333,641.7249999999999,639.8416666666667,641.7249999999999,639.8416666666667,1.883333333333212,0.2947774821307266,Moderate,Bearish,Below CPR,Cash Only,Fast Moving Consumer Goods,False,True,0.25,4,105832843.9,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ALLTIME,EQ,ALL TIME PLASTICS LIMITED,240.37,240.89,233.44,236.12,72474,17100298.57,20260526,236.8166666666667,237.165,236.4683333333334,237.165,236.4683333333334,0.6966666666666015,0.2950477158506698,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.75,4,12473735.66,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NAVKARCORP,EQ,NAVKAR CORPORATION LTD.,97.0,100.48,96.71,98.16,617992,61127272.44,20260526,98.45,98.595,98.305,98.595,98.305,0.289999999999992,0.2954360228198778,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,41945884.82,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WAAREERTL,EQ,WAAREE RENEWABLE TECH LTD,977.0,1004.8,972.0,992.8,275052,273478972.1,20260526,989.8666666666668,988.4,991.3333333333334,991.3333333333334,988.4,2.933333333333394,0.2954606500134362,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,4,178479150.0,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAHYADRI,EQ,SAHYADRI INDUSTRIES LTD,303.85,305.95,293.0,298.15,4195,1254583.45,20260526,299.03333333333336,299.475,298.5916666666667,299.475,298.5916666666667,0.8833333333333258,0.2962714517301109,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.75,4,1346468.95,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VRAJ,EQ,VRAJ IRON AND STEEL LTD,124.8,125.0,121.03,122.47,9737,1198779.45,20260526,122.83333333333331,123.015,122.65166666666666,123.015,122.65166666666666,0.3633333333333439,0.2966712936501542,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,1658607.465,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
COCHINSHIP,EQ,COCHIN SHIPYARD LIMITED,1524.9,1556.0,1510.0,1526.2,975462,1491255599.0,20260526,1530.7333333333331,1533.0,1528.4666666666667,1533.0,1528.4666666666667,4.533333333333303,0.2970340278687788,Moderate,Bearish,Below CPR,Cash Only,Capital Goods,False,True,0.5,4,1314894938.85,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,102.55,103.34,101.81,102.12,427878,43833545.5,20260526,102.42333333333332,102.575,102.27166666666666,102.575,102.27166666666666,0.3033333333333416,0.2970361666013921,Moderate,Bearish,Below CPR,Cash Only,Consumer Services,False,True,0.5,4,46344131.445,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
JBMA,EQ,JBM AUTO LIMITED,637.05,651.95,632.45,639.35,351161,225664803.9,20260526,641.25,642.2,640.3,642.2,640.3,1.900000000000091,0.297176820208038,Moderate,Bearish,Below CPR,Cash Only,Automobile and Auto Components,False,True,0.25,4,202770333.65,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VMM,EQ,VISHAL MEGA MART LIMITED,122.63,122.63,120.61,121.08,4961304,600728245.37,20260526,121.44,121.62,121.26,121.62,121.26,0.3600000000000136,0.2973240832507546,Moderate,Bearish,Below CPR,Cash Only,Consumer Services,False,True,0.5,4,804859910.2149999,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PITTIENG,EQ,PITTI ENGINEERING LIMITED,934.65,943.8,921.1,928.3,24526,22883967.35,20260526,931.0666666666666,932.45,929.6833333333332,932.45,929.6833333333332,2.766666666666879,0.2980358361162209,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,23456303.75,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CHOICEIN,EQ,CHOICE INTERNATIONAL LTD,693.5,696.0,685.35,687.6,346903,239687485.15,20260526,689.65,690.675,688.625,690.675,688.625,2.0499999999999545,0.2981384525887077,Moderate,Bearish,Below CPR,Cash Only,Financial Services,False,True,1.0,4,352798110.25,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PPLPHARMA,EQ,PIRAMAL PHARMA LIMITED,180.0,180.72,175.4,178.86,2124352,378391406.38,20260526,178.32666666666668,178.06,178.59333333333336,178.59333333333336,178.06,0.5333333333333599,0.2981848000298333,Moderate,Bullish,Above CPR,Cash Only,Healthcare,False,False,0.75,4,363312187.23,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LLOYDSENGG,EQ,LLOYDS ENGG WORK LIMITED,75.8,78.0,75.33,77.01,15375982,1182229721.75,20260526,76.77999999999999,76.66499999999999,76.89499999999998,76.89499999999998,76.66499999999999,0.2299999999999897,0.2986625113621474,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.5,4,803186803.125,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
REDINGTON,EQ,REDINGTON LIMITED,223.88,228.3,222.74,224.51,2800786,632859700.21,20260526,225.1833333333333,225.52,224.8466666666666,225.52,224.8466666666666,0.6733333333334031,0.2999124018232609,Moderate,Bearish,Below CPR,Cash Only,Services,False,True,0.75,4,628404430.31,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SETL,EQ,STANDARD ENGNG TCNLGY LTD,134.56,138.76,130.8,135.39,241995,33114955.61,20260526,134.98333333333332,134.78,135.18666666666664,135.18666666666664,134.78,0.4066666666666378,0.3003668414702991,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.25,4,26312804.13,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PTCIL,EQ,PTC INDUSTRIES LIMITED,16290.0,16649.0,16264.0,16531.0,8751,144238068.0,20260526,16481.333333333332,16456.5,16506.166666666664,16506.166666666664,16456.5,49.66666666666424,0.3004456274070791,Moderate,Bullish,Above CPR,Cash Only,Capital Goods,False,False,0.25,4,164529682.0,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BAJAJ-AUTO,EQ,BAJAJ AUTO LIMITED,10530.0,10641.5,10449.0,10593.0,559535,5906489444.0,20260526,10561.166666666666,10545.25,10577.083333333332,10577.083333333332,10545.25,31.83333333333212,0.3005129173353357,Moderate,Bullish,Above CPR,Cash Only,Automobile and Auto Components,False,False,0.25,4,5736932610.25,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHANTI,EQ,SHANTI OVERSEAS INDIA LTD,6.5,6.84,6.5,6.64,12086,80078.23,20260526,6.66,6.67,6.65,6.67,6.65,0.0199999999999995,0.301204819277102,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.25,4,96054.93,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MAHSEAMLES,EQ,MAHARASHTRA SEAMLESS LTD,625.0,642.9,624.0,630.6,104360,66100463.2,20260526,632.5,633.45,631.55,633.45,631.55,1.900000000000091,0.3013003488741025,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,59912993.325,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DENORA,EQ,DE NORA INDIA LIMITED,709.0,737.75,700.0,722.15,3023,2191955.4,20260526,719.9666666666667,718.875,721.0583333333334,721.0583333333334,718.875,2.183333333333394,0.3023379261003107,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.5,4,2493426.6,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BHARATRAS,EQ,BHARAT RASAYAN LTD,1432.5,1475.0,1412.0,1450.1,26544,38191286.1,20260526,1445.7,1443.5,1447.9,1447.9,1443.5,4.400000000000091,0.3034273498379485,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.75,4,20423858.75,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CARRARO,EQ,CARRARO INDIA LIMITED,607.0,617.45,605.1,608.5,121016,73945553.3,20260526,610.35,611.2750000000001,609.425,611.2750000000001,609.425,1.8500000000001364,0.3040262941660043,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,True,0.5,4,93366575.525,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BECTORFOOD,EQ,MRS BECTORS FOOD SPE LTD,180.0,187.48,178.1,181.96,742506,135560837.4,20260526,182.5133333333333,182.79,182.23666666666665,182.79,182.23666666666665,0.5533333333333417,0.3040961383454285,Moderate,Bearish,Below CPR,Cash Only,FMCG & Food Products,False,True,0.25,4,100702798.5,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PFIZER,EQ,PFIZER LTD,4699.0,4700.0,4626.0,4641.8,13609,63211400.4,20260526,4655.933333333333,4663.0,4648.866666666667,4663.0,4648.866666666667,14.133333333333212,0.3044795840693957,Moderate,Bearish,Below CPR,Cash Only,Healthcare,False,True,0.5,4,80073835.55,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SKFINDUS,EQ,SKF IND (INDUSTRIAL) LTD,2099.5,2114.5,2066.7,2100.2,13822,29009982.0,20260526,2093.8,2090.6,2096.9999999999995,2096.9999999999995,2090.6,6.399999999999636,0.3047328825825938,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,0.5,4,21766129.75,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
